"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"613","2016/17","E23000032","Kent","South East","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 4 "
"614","2016/17","E23000032","Kent","South East","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"615","2016/17","E23000032","Kent","South East","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"616","2016/17","E23000032","Kent","South East","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"617","2016/17","E23000032","Kent","South East","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 9 "
"618","2016/17","E23000032","Kent","South East","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 47 "
"619","2016/17","E23000032","Kent","South East","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"620","2016/17","E23000032","Kent","South East","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"621","2016/17","E23000003","Lancashire","North West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"622","2016/17","E23000003","Lancashire","North West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"623","2016/17","E23000003","Lancashire","North West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"624","2016/17","E23000003","Lancashire","North West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"625","2016/17","E23000003","Lancashire","North West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"626","2016/17","E23000003","Lancashire","North West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"627","2016/17","E23000003","Lancashire","North West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"628","2016/17","E23000003","Lancashire","North West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 38 "
"629","2016/17","E23000003","Lancashire","North West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"630","2016/17","E23000003","Lancashire","North West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"631","2016/17","E23000021","Leicestershire","East Midlands","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"632","2016/17","E23000021","Leicestershire","East Midlands","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"633","2016/17","E23000021","Leicestershire","East Midlands","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"634","2016/17","E23000021","Leicestershire","East Midlands","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"635","2016/17","E23000021","Leicestershire","East Midlands","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"636","2016/17","E23000021","Leicestershire","East Midlands","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"637","2016/17","E23000021","Leicestershire","East Midlands","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 9 "
"638","2016/17","E23000021","Leicestershire","East Midlands","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 61 "
"639","2016/17","E23000021","Leicestershire","East Midlands","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"640","2016/17","E23000021","Leicestershire","East Midlands","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"641","2016/17","E23000020","Lincolnshire","East Midlands","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"642","2016/17","E23000020","Lincolnshire","East Midlands","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"643","2016/17","E23000020","Lincolnshire","East Midlands","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"644","2016/17","E23000020","Lincolnshire","East Midlands","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"645","2016/17","E23000020","Lincolnshire","East Midlands","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
