"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1421","2018/19","E23000005","Greater Manchester","North West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1422","2018/19","E23000005","Greater Manchester","North West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1423","2018/19","E23000005","Greater Manchester","North West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"1424","2018/19","E23000005","Greater Manchester","North West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1425","2018/19","E23000005","Greater Manchester","North West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1426","2018/19","E23000005","Greater Manchester","North West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 10 "
"1427","2018/19","E23000005","Greater Manchester","North West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 14 "
"1428","2018/19","E23000005","Greater Manchester","North West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 137 "
"1429","2018/19","E23000005","Greater Manchester","North West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1430","2018/19","E23000005","Greater Manchester","North West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1431","2018/19","W15000002","Gwent","Wales","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1432","2018/19","W15000002","Gwent","Wales","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1433","2018/19","W15000002","Gwent","Wales","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1434","2018/19","W15000002","Gwent","Wales","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1435","2018/19","W15000002","Gwent","Wales","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1436","2018/19","W15000002","Gwent","Wales","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1437","2018/19","W15000002","Gwent","Wales","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
